IN1,IN2,TR1,TR2,MU1,MU2,MB1,MB2,MB3,IM1,IM2,IM3,IM4,IM5,IM6,IM7,IM8
4,4,4,3,4,4,4,4,4,3,4,3,4,4,3,3,3
4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,3,2,3,3,3,2,2,2,2,2,3,3,3,2,2
4,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,4,3,4,3,4,3,3,4,3,3,3,3,4,4,3
4,2,2,3,3,3,2,2,3,2,2,2,2,3,3,3,2
4,1,2,2,2,4,4,4,4,2,4,3,4,3,3,3,1
4,1,2,2,2,2,1,3,2,4,2,2,4,3,2,3,2
2,2,2,2,3,3,4,3,3,3,3,3,4,3,3,2,2
1,1,1,2,3,2,1,1,3,1,1,1,2,2,2,1,2
2,2,1,3,3,3,2,2,2,1,3,2,4,4,4,2,1
2,3,3,3,3,4,4,3,3,4,3,3,3,3,3,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,2,3,3,2,2,4,3,3,2,3,2,4,4,3,2,2
2,2,2,3,3,3,3,2,3,2,2,2,3,3,3,2,2
3,2,2,3,4,4,4,3,3,1,3,2,2,4,4,3,2
2,1,2,3,3,3,3,3,4,2,3,3,3,3,3,3,3
4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3
4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3
1,1,3,4,4,4,4,3,4,1,3,3,4,3,3,3,3
4,4,3,4,4,4,4,4,4,2,4,2,4,4,4,2,4
2,2,3,2,1,1,3,3,3,2,3,3,3,3,3,2,3
4,2,3,2,3,3,3,3,2,2,3,2,3,3,3,2,3
2,2,3,3,3,3,2,3,3,4,4,4,4,4,4,2,2
4,2,1,2,4,1,3,4,3,2,3,1,3,3,3,2,3
3,3,3,1,3,1,1,2,2,1,2,2,3,2,2,2,2
1,1,2,2,3,3,2,1,2,1,2,1,2,2,2,1,1
4,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
4,4,2,3,4,3,3,3,2,1,2,3,3,3,3,3,2
2,2,2,2,3,3,2,2,3,3,3,2,3,3,3,2,2
4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4
3,3,3,4,4,3,4,4,3,3,3,3,3,3,2,2,3
4,4,2,1,3,4,2,3,2,3,4,4,4,4,3,4,1
2,1,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3
4,4,2,2,3,4,3,2,1,1,2,1,1,2,4,1,1
4,2,4,4,4,4,4,2,2,3,2,3,4,4,4,2,3
4,4,3,3,4,4,4,3,4,2,4,2,3,4,4,2,1
4,2,1,1,3,1,1,1,2,1,1,1,2,2,2,1,2
2,1,2,2,2,3,4,4,3,3,3,2,3,3,3,4,2
1,2,2,2,3,3,3,2,2,1,3,1,3,3,3,1,2
3,3,3,3,3,2,3,4,3,3,3,2,3,4,4,2,1
4,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3
4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4
4,2,4,4,4,4,4,4,4,1,3,1,2,2,3,4,4
3,2,2,2,2,1,2,2,3,1,1,2,2,3,3,2,1
4,4,3,2,4,2,3,3,2,4,3,1,4,4,4,3,2
4,4,3,4,4,4,4,4,4,2,4,2,4,3,4,3,2
4,3,3,3,4,4,4,4,3,2,3,2,3,3,3,3,2
4,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4
